partner_id,name,phone,vehicle_type,rating,num_deliveries,city,team_lead_id,is_active,license_number
PARTNER0033,Michael Lewis,555-6174709,Van,5.0,128,Phoenix,PARTNER0005,False,LIC9444006
PARTNER0034,Linda Price,555-6909259,Car,1.9,496,Los Angeles,PARTNER0462,False,LIC4635108
PARTNER0035,Morgan Fields,555-6213821,Bike,1.4,235,Los Angeles,PARTNER0037,True,LIC9991046
PARTNER0036,Timothy Rodriguez,555-6819687,Car,1.4,139,Chicago,PARTNER0257,True,LIC4840913
PARTNER0037,Donald Ward,555-1720650,Van,3.6,784,Houston,PARTNER0161,False,LIC8101943
PARTNER0038,Tiffany Murphy,555-7537033,Car,4.6,204,Los Angeles,PARTNER0113,True,LIC7823616
PARTNER0039,Anne Ryan,555-4218986,Bike,1.3,179,New York,PARTNER0498,False,LIC3307083
PARTNER0040,Jordan Simmons,555-9399795,Van,3.3,488,Los Angeles,PARTNER0495,True,LIC7872334
PARTNER0041,Kayla Carrillo,555-9933349,Van,4.8,108,Chicago,PARTNER0496,False,LIC3926113
PARTNER0042,James Melton,555-4475203,Bike,4.8,563,Chicago,PARTNER0317,True,LIC9693717
PARTNER0043,Cameron Dorsey,555-8007581,Car,4.5,868,Chicago,PARTNER0196,False,LIC8351647
PARTNER0044,Cheryl Adams,555-6636529,Van,1.9,614,Chicago,PARTNER0233,True,LIC6159255
PARTNER0045,Adrian Williams,555-4077981,Van,3.9,456,Phoenix,PARTNER0455,True,LIC3767919
PARTNER0046,James Wilson,555-6862647,Van,1.3,118,Chicago,PARTNER0410,True,LIC2999414
PARTNER0047,Erik Keith,555-3810554,Bike,3.4,970,New York,PARTNER0209,False,LIC9614527
PARTNER0048,Natalie Williams DDS,555-9692503,Car,2.1,563,New York,PARTNER0129,True,LIC1027877
PARTNER0049,Steven Lopez,555-6293525,Bike,4.1,304,Chicago,PARTNER0111,True,LIC4386389
PARTNER0050,Ashley Lawson,555-4663279,Bike,3.9,431,Phoenix,PARTNER0498,False,LIC1563936
PARTNER0051,Ashley Barnes,555-8165454,Car,3.6,553,Phoenix,PARTNER0293,False,LIC8644018
PARTNER0052,Jennifer Harvey,555-1186300,Car,4.7,210,Houston,PARTNER0122,False,LIC7994599
PARTNER0053,Brittany David,555-9441760,Van,3.8,901,Los Angeles,PARTNER0384,False,LIC1275775
PARTNER0054,Kenneth Owens,555-7992373,Van,2.0,655,Los Angeles,PARTNER0007,True,LIC2669849
PARTNER0055,Bruce Huber,555-2432525,Car,1.1,418,Chicago,PARTNER0081,True,LIC1318757
PARTNER0056,Brenda Moore,555-2880197,Car,4.2,557,New York,PARTNER0433,False,LIC7437851
PARTNER0057,Marcus Johnson,555-8372025,Van,2.2,674,Los Angeles,PARTNER0036,True,LIC4536051
PARTNER0058,Mr. Michael Williams,555-3697340,Car,2.5,778,New York,PARTNER0306,True,LIC3413862
PARTNER0059,Riley Ross,555-8115023,Van,3.5,707,Los Angeles,PARTNER0095,True,LIC2111474
PARTNER0060,Mrs. Barbara Davis DDS,555-3758565,Van,3.3,262,Phoenix,PARTNER0008,False,LIC4786488
PARTNER0061,Heather Cole,555-8537711,Bike,4.2,426,New York,PARTNER0141,True,LIC9824736
PARTNER0062,Nicholas Santos,555-4303470,Car,2.1,642,Los Angeles,PARTNER0103,True,LIC3071172
PARTNER0063,Anthony Fowler,555-9304062,Bike,2.1,959,Chicago,PARTNER0139,False,LIC9511860
PARTNER0064,Jacob Carroll,555-1593598,Car,2.5,386,Houston,PARTNER0447,False,LIC1834528
PARTNER0065,David Fitzpatrick,555-3422211,Car,1.0,924,New York,PARTNER0018,False,LIC2956683
PARTNER0066,Rebecca Williams,555-4859216,Van,4.7,166,Houston,PARTNER0360,True,LIC7957275
PARTNER0067,Mark Burke,555-5358897,Van,1.5,142,Houston,PARTNER0064,True,LIC3374420
PARTNER0068,Kevin Jones,555-4823727,Van,2.9,196,New York,PARTNER0123,True,LIC6116212
PARTNER0069,Derek Wilson,555-3701138,Van,1.9,288,Phoenix,PARTNER0476,False,LIC5126026
PARTNER0070,Emily Morrow,555-3711480,Car,3.9,744,Houston,PARTNER0013,True,LIC5538800
PARTNER0071,Justin Fleming MD,555-4144021,Car,2.8,730,Phoenix,PARTNER0211,False,LIC6931621
PARTNER0072,Dorothy Russell,555-5130736,Bike,3.1,863,Phoenix,PARTNER0138,False,LIC7695340
PARTNER0073,Timothy Myers,555-7262360,Bike,2.1,870,Los Angeles,PARTNER0188,False,LIC7222812
PARTNER0074,Claudia Mason,555-1971204,Van,4.5,860,Los Angeles,PARTNER0412,False,LIC7337375
PARTNER0075,Nancy Hays,555-1534639,Bike,1.6,133,Los Angeles,PARTNER0395,False,LIC7071214
PARTNER0076,Rhonda Nelson,555-7694187,Car,4.3,419,Houston,PARTNER0010,False,LIC7957663
PARTNER0077,Jonathan Fuller,555-2049684,Van,4.7,294,Houston,PARTNER0271,False,LIC8419931
PARTNER0078,Taylor Alexander,555-7007277,Van,2.9,458,New York,PARTNER0303,False,LIC7638045
PARTNER0079,Kirsten Guzman,555-7658575,Bike,3.0,224,Los Angeles,PARTNER0249,False,LIC5478719
PARTNER0080,Christopher Williams,555-7385682,Bike,2.3,928,Houston,PARTNER0107,True,LIC5635125
PARTNER0081,Eileen Sanchez,555-5204504,Van,4.4,649,Phoenix,PARTNER0250,True,LIC1446097
PARTNER0082,Stephanie Graham,555-9822832,Bike,3.6,984,Chicago,PARTNER0377,True,LIC5230415
PARTNER0083,David Powell,555-5527621,Bike,1.4,926,New York,PARTNER0110,False,LIC1961808
PARTNER0084,Jacob Gomez,555-3042085,Bike,5.0,592,Phoenix,PARTNER0264,False,LIC6513807
PARTNER0085,Jose Smith,555-7636328,Van,1.0,359,Houston,PARTNER0244,False,LIC7088436
PARTNER0086,Angela Burton DDS,555-9622166,Car,1.4,320,Los Angeles,PARTNER0312,True,LIC4910061
PARTNER0087,Donald Morton,555-5498412,Van,1.0,200,Los Angeles,PARTNER0004,True,LIC6375247
PARTNER0088,William Gilbert,555-4863199,Van,4.5,357,New York,PARTNER0428,True,LIC5208064
PARTNER0089,Alejandro Smith,555-1354027,Van,2.8,624,Chicago,PARTNER0046,False,LIC7342857
PARTNER0090,Sarah Horn,555-8375012,Bike,2.8,692,Houston,PARTNER0132,True,LIC5381877
PARTNER0091,Mr. Michael Hubbard,555-5817659,Bike,4.1,634,Los Angeles,PARTNER0482,True,LIC3746393
PARTNER0092,Katherine Wagner,555-7235622,Car,2.9,923,Los Angeles,PARTNER0297,True,LIC9059482
PARTNER0093,Joel Stone,555-6129949,Car,2.4,960,New York,PARTNER0072,True,LIC7739356
PARTNER0094,Beth Lopez,555-4364363,Van,2.3,214,Houston,PARTNER0473,True,LIC7588194
PARTNER0095,Hailey Stevens,555-3497144,Car,1.1,865,New York,PARTNER0460,False,LIC8847952
PARTNER0096,Jessica Rice,555-1724536,Car,3.7,612,Los Angeles,PARTNER0250,False,LIC4915147
PARTNER0097,James Fritz,555-2116439,Bike,3.8,123,Los Angeles,PARTNER0307,False,LIC3898669
PARTNER0098,Heather James,555-6537927,Bike,3.3,383,Phoenix,PARTNER0120,True,LIC2649570
PARTNER0099,Adam Burns,555-1106871,Bike,2.6,990,Chicago,PARTNER0400,False,LIC6375593
PARTNER0100,William Chapman,555-6596161,Car,1.2,585,Los Angeles,PARTNER0441,False,LIC1650886
PARTNER0101,Jessica Lopez,555-1013743,Bike,3.1,293,Chicago,PARTNER0106,False,LIC7815180
PARTNER0102,David Barnes,555-8189948,Car,2.0,991,New York,PARTNER0076,False,LIC8477235
PARTNER0103,Emily Pennington,555-2299340,Bike,3.0,740,Houston,PARTNER0274,False,LIC7393577
PARTNER0104,Michael Norman,555-4227896,Bike,3.1,648,New York,PARTNER0448,False,LIC1728704
PARTNER0105,Brianna Gutierrez,555-5850730,Van,2.8,192,Los Angeles,PARTNER0247,True,LIC8042414
PARTNER0106,Brianna Ferrell,555-3215386,Van,3.6,923,Los Angeles,PARTNER0342,True,LIC1067700
PARTNER0107,Sarah Smith,555-3608385,Van,3.1,417,Chicago,PARTNER0171,False,LIC1602574
PARTNER0108,Rebecca Riggs,555-6960565,Car,1.2,924,Los Angeles,PARTNER0399,True,LIC8657795
PARTNER0109,Terry Cobb,555-6888538,Car,1.8,984,Chicago,PARTNER0345,True,LIC8708492
PARTNER0110,Carrie Carr,555-7688558,Car,3.7,826,Phoenix,PARTNER0192,False,LIC9076243
PARTNER0111,Erik Smith,555-9666517,Car,4.8,181,Phoenix,PARTNER0422,True,LIC7978412
PARTNER0112,Zachary Wolfe,555-1537261,Car,4.1,887,Houston,PARTNER0320,False,LIC5630150
PARTNER0113,Ashley Weeks,555-8991553,Bike,3.6,316,Chicago,PARTNER0470,False,LIC2924546
PARTNER0114,Matthew Duran,555-4539847,Bike,5.0,761,New York,PARTNER0425,True,LIC7508812
PARTNER0115,Michael Harris,555-4843982,Bike,2.8,700,Houston,PARTNER0398,False,LIC1609399
PARTNER0116,Amanda Fowler,555-4987467,Bike,1.2,404,Houston,PARTNER0327,True,LIC1097467
PARTNER0117,Christopher Blake,555-8197280,Bike,1.0,212,New York,PARTNER0412,False,LIC2527143
PARTNER0118,Emily Baker,555-4773805,Van,1.2,393,Houston,PARTNER0022,True,LIC8056219
PARTNER0119,Mary Flores,555-4304767,Bike,2.1,330,Chicago,PARTNER0306,True,LIC8886698
PARTNER0120,Kimberly Thomas,555-3562118,Van,2.4,130,Houston,PARTNER0223,True,LIC9015896
PARTNER0121,Zachary Anderson,555-8675126,Bike,2.5,237,Los Angeles,PARTNER0066,True,LIC1001279
PARTNER0122,Samantha Baird,555-8149203,Bike,2.0,727,Houston,PARTNER0376,False,LIC1501397
PARTNER0123,Debra Lee,555-5539120,Car,1.8,324,Chicago,PARTNER0474,False,LIC8904840
PARTNER0124,Vincent Allen,555-1231892,Car,2.0,470,Los Angeles,PARTNER0156,False,LIC7851960
PARTNER0125,Sean Hodges,555-2146500,Van,3.6,984,New York,PARTNER0310,True,LIC7246878
PARTNER0126,Sean Jones,555-4884688,Bike,2.7,434,Houston,PARTNER0006,True,LIC6841057
PARTNER0127,Joshua Dixon,555-9093124,Bike,2.2,541,Chicago,PARTNER0321,True,LIC2984729
PARTNER0128,Emily Jones,555-7363485,Car,2.1,425,New York,PARTNER0376,True,LIC9812638
PARTNER0129,Brandon Gonzalez,555-4162192,Car,4.3,364,Houston,PARTNER0298,True,LIC1112985
PARTNER0130,Christopher Lopez,555-9270389,Van,1.2,422,Phoenix,PARTNER0386,False,LIC1200642
PARTNER0131,Denise Nielsen,555-9800980,Car,2.6,390,Chicago,PARTNER0336,False,LIC1648162
PARTNER0132,Ryan Lee,555-6028878,Bike,4.4,945,Chicago,PARTNER0208,False,LIC5210803
PARTNER0133,Michael Chavez,555-9436647,Car,1.6,581,Chicago,PARTNER0307,True,LIC8381608
PARTNER0134,Elizabeth Simpson,555-9928463,Bike,4.7,284,Phoenix,PARTNER0047,True,LIC8197401
PARTNER0135,Mary Smith,555-6599149,Van,2.1,118,Chicago,PARTNER0320,True,LIC8133143
PARTNER0136,Shelby Reese,555-4050945,Car,4.3,879,Chicago,PARTNER0245,True,LIC5045290
PARTNER0137,Bradley Lopez,555-5570504,Car,3.0,497,Phoenix,PARTNER0403,False,LIC4377628
PARTNER0138,Michael Ellis,555-4745357,Car,4.4,642,Houston,PARTNER0069,True,LIC2650662
PARTNER0139,Timothy Romero,555-6213480,Car,3.0,793,Chicago,PARTNER0314,False,LIC9890294
PARTNER0140,Kevin Brown,555-8908727,Bike,2.4,239,Phoenix,PARTNER0194,False,LIC1305855
PARTNER0141,Luke Chase,555-7705713,Bike,1.3,320,Houston,PARTNER0201,False,LIC4429308
PARTNER0142,Matthew Baker,555-7844026,Van,3.5,539,Chicago,PARTNER0282,False,LIC6412463
PARTNER0143,Vincent Garcia,555-2544020,Bike,3.9,681,Chicago,PARTNER0184,True,LIC1249080
PARTNER0144,Yolanda Nielsen,555-3176206,Car,4.0,791,Chicago,PARTNER0291,False,LIC8853723
PARTNER0145,Anna Duncan,555-1580208,Van,3.0,556,New York,PARTNER0171,True,LIC9835883
PARTNER0146,Amber Anderson,555-3417386,Bike,3.2,951,Phoenix,PARTNER0350,False,LIC8337213
PARTNER0147,Laura Leonard,555-4023415,Bike,4.6,660,Chicago,PARTNER0182,True,LIC7346283
PARTNER0148,Keith Williams,555-1990136,Car,1.4,139,Los Angeles,PARTNER0398,True,LIC1473880
PARTNER0149,Kimberly Mata,555-7352648,Bike,1.7,894,Chicago,PARTNER0210,False,LIC2372411
PARTNER0150,John Gray,555-3290760,Car,2.5,219,Los Angeles,PARTNER0347,False,LIC1858179
PARTNER0151,Nicole Cummings,555-5754345,Car,2.1,595,Los Angeles,PARTNER0409,False,LIC4286801
PARTNER0152,Allison Wood,555-5201499,Car,1.3,381,Chicago,PARTNER0249,False,LIC2378408
PARTNER0153,Jill Sanders,555-5039998,Bike,4.7,191,Phoenix,PARTNER0218,True,LIC6042924
PARTNER0154,Samantha Luna,555-6985652,Car,4.0,973,Phoenix,PARTNER0029,False,LIC3291719
PARTNER0155,Wanda Roberson,555-4988540,Van,2.9,234,Chicago,PARTNER0208,False,LIC1164276
PARTNER0156,Barbara Schmidt,555-8760750,Van,3.8,943,Los Angeles,PARTNER0022,True,LIC8192768
PARTNER0157,Michael Berg,555-2140174,Bike,4.8,696,Phoenix,PARTNER0081,True,LIC1376907
PARTNER0158,Andrew Russo,555-8964026,Car,3.8,110,Phoenix,PARTNER0438,True,LIC8405390
PARTNER0159,Amanda Ferrell,555-8705666,Van,2.1,450,Los Angeles,PARTNER0334,False,LIC8463694
PARTNER0160,Valerie Hopkins,555-4640211,Van,1.2,581,Houston,PARTNER0059,False,LIC7910325
PARTNER0161,John Rivera,555-4242806,Bike,3.6,769,Phoenix,PARTNER0054,False,LIC1401156
PARTNER0162,Michelle Finley,555-2446510,Car,2.0,689,Los Angeles,PARTNER0250,True,LIC5642590
PARTNER0163,Jacob Bryan,555-8048571,Bike,1.1,157,New York,PARTNER0061,False,LIC7673288
PARTNER0164,Tammy Roberts,555-6640518,Van,4.2,723,Chicago,PARTNER0283,False,LIC2666740
PARTNER0165,Melinda Holloway,555-1374866,Van,2.2,284,Los Angeles,PARTNER0238,False,LIC1486752
PARTNER0166,Michael Reynolds,555-3121724,Van,3.3,856,Chicago,PARTNER0102,True,LIC1030021
PARTNER0167,Joshua Gonzalez,555-4343240,Bike,2.7,169,Houston,PARTNER0230,False,LIC5325535
PARTNER0168,Michael Whitehead,555-8018098,Bike,3.2,352,Houston,PARTNER0067,True,LIC9429532
PARTNER0169,Patrick Alvarez,555-8527976,Van,1.1,855,Chicago,PARTNER0189,True,LIC5784239
PARTNER0170,Timothy Nunez,555-4761382,Bike,1.7,976,Chicago,PARTNER0113,True,LIC1194064
PARTNER0171,Carla White,555-4413828,Van,3.2,326,New York,PARTNER0405,False,LIC8757073
PARTNER0172,Brandon Ryan,555-8113375,Van,1.3,961,Phoenix,PARTNER0348,False,LIC5370219
PARTNER0173,John Harrell,555-1585847,Bike,1.5,203,Phoenix,PARTNER0217,True,LIC2569832
PARTNER0174,Erika Douglas,555-4040704,Car,3.1,446,Phoenix,PARTNER0131,False,LIC7878300
PARTNER0175,Jonathan Mitchell,555-9554405,Car,4.5,492,Houston,PARTNER0189,False,LIC4247395
PARTNER0176,Ashley Villanueva,555-3119405,Bike,3.6,241,Los Angeles,PARTNER0152,True,LIC2755277
PARTNER0177,Joseph Gilmore,555-6217194,Car,3.4,961,New York,PARTNER0217,True,LIC4435172
PARTNER0178,Joshua White,555-5446010,Bike,1.4,248,Phoenix,PARTNER0281,True,LIC8900250
PARTNER0179,Tiffany Snow,555-8260182,Bike,3.5,870,Houston,PARTNER0289,False,LIC5688677
PARTNER0180,Kyle Clements,555-8969624,Bike,4.6,179,Phoenix,PARTNER0060,True,LIC9334916
PARTNER0181,Jennifer Wright,555-6066136,Bike,1.0,197,Los Angeles,PARTNER0200,False,LIC5079004
PARTNER0182,Jason Ochoa,555-9732750,Car,3.2,537,Chicago,PARTNER0373,False,LIC5365370
PARTNER0183,Jared Levy,555-7690813,Van,3.2,910,Chicago,PARTNER0321,False,LIC5424914
PARTNER0184,Ashley Daniel,555-7454565,Car,2.0,683,Los Angeles,PARTNER0199,True,LIC5789709
PARTNER0185,Evelyn Flores,555-6157546,Bike,4.5,971,Phoenix,PARTNER0349,True,LIC1561024
PARTNER0186,Mackenzie Mckinney,555-4848780,Car,3.2,722,Chicago,PARTNER0301,False,LIC8606431
PARTNER0187,Jennifer Riley,555-8270799,Car,4.3,837,Phoenix,PARTNER0153,False,LIC7156824
PARTNER0188,Michael Lee,555-2350540,Van,3.1,228,Houston,PARTNER0041,True,LIC9225154
PARTNER0189,Mr. Juan Parker MD,555-4947407,Bike,4.4,549,Los Angeles,PARTNER0484,False,LIC4116086
PARTNER0190,Elizabeth West,555-4839284,Bike,3.8,886,Phoenix,PARTNER0192,True,LIC2213245
PARTNER0191,Laura Scott,555-1827807,Car,4.8,588,Phoenix,PARTNER0207,False,LIC4006886
PARTNER0192,Todd Gonzalez,555-8557517,Bike,4.0,851,Phoenix,PARTNER0169,True,LIC6504757
PARTNER0193,Jessica Ibarra,555-3755290,Bike,3.0,710,Phoenix,PARTNER0286,False,LIC5296013
PARTNER0194,Karen Hood,555-1683136,Van,2.9,340,Los Angeles,PARTNER0084,True,LIC2906298
PARTNER0195,William Ashley,555-8713106,Car,3.8,379,New York,PARTNER0439,False,LIC7829423
PARTNER0196,Michael Love,555-2774557,Van,3.4,153,Los Angeles,PARTNER0499,False,LIC9919013
PARTNER0197,Vanessa Simmons,555-4395464,Bike,3.7,640,Chicago,PARTNER0308,False,LIC3808949
PARTNER0198,Jason Brown,555-5181090,Bike,1.7,489,New York,PARTNER0057,False,LIC9147023
PARTNER0199,Christopher Chambers,555-4667200,Van,2.2,922,Phoenix,PARTNER0027,True,LIC7863071
PARTNER0200,Jessica Brown,555-3022481,Car,1.7,439,Los Angeles,PARTNER0454,True,LIC9960577
PARTNER0201,Richard Lynn,555-4032061,Van,2.3,435,Los Angeles,PARTNER0415,False,LIC2123110
PARTNER0202,Lisa Sims,555-5321279,Van,2.4,499,Chicago,PARTNER0217,False,LIC7592623
PARTNER0203,Ricky Daniel,555-6940407,Car,4.2,733,New York,PARTNER0376,True,LIC4603215
PARTNER0204,Tami Cox,555-6798283,Van,4.8,402,Phoenix,PARTNER0500,True,LIC8438142
PARTNER0205,Sarah Davis,555-3704185,Car,2.3,416,Houston,PARTNER0482,False,LIC7347354
PARTNER0206,Shelby Thompson,555-3976616,Bike,2.1,514,New York,PARTNER0080,True,LIC7662239
PARTNER0207,Kimberly Nolan,555-4162546,Car,2.7,727,Phoenix,PARTNER0339,True,LIC3307479
PARTNER0208,Mario Evans,555-1424132,Bike,2.7,936,New York,PARTNER0338,True,LIC5927632
PARTNER0209,Brian Watkins,555-4150399,Van,3.8,710,Phoenix,PARTNER0469,False,LIC3821439
PARTNER0210,Roger Davis,555-4607868,Bike,2.8,269,Phoenix,PARTNER0411,False,LIC2583687
PARTNER0211,Kyle Garcia,555-7912621,Bike,3.4,192,Los Angeles,PARTNER0169,True,LIC7938282
PARTNER0212,Monica Townsend,555-3106327,Van,2.9,693,Phoenix,PARTNER0136,True,LIC6977801
PARTNER0213,Raven Green,555-3623907,Car,1.3,356,Chicago,PARTNER0486,True,LIC9600539
PARTNER0214,Andrew Irwin,555-5221283,Van,4.8,243,New York,PARTNER0321,True,LIC6055916
PARTNER0215,Nancy Walker,555-4050292,Van,3.1,695,New York,PARTNER0152,True,LIC3802751
PARTNER0216,Corey Yang,555-4083570,Van,2.0,253,Houston,PARTNER0021,False,LIC8312018
PARTNER0217,Misty Vaughn,555-1294244,Car,3.0,586,Chicago,PARTNER0302,False,LIC3858989
PARTNER0218,Marissa Wagner,555-4479213,Bike,2.7,286,New York,PARTNER0259,True,LIC7818387
PARTNER0219,Michael Valdez,555-4692779,Bike,4.6,566,New York,PARTNER0161,True,LIC3662610
PARTNER0220,Amy Robinson,555-2745755,Van,4.4,142,New York,PARTNER0402,False,LIC3891308
PARTNER0221,Anita Carlson,555-1475449,Bike,1.9,957,Houston,PARTNER0395,False,LIC6491284
PARTNER0222,Levi Harper,555-9251992,Bike,1.0,388,Chicago,PARTNER0093,True,LIC8537575
PARTNER0223,Jennifer Hurst,555-8592623,Bike,2.1,423,Phoenix,PARTNER0144,True,LIC3856026
PARTNER0224,Christine Mccall,555-8974896,Car,3.0,153,Houston,PARTNER0477,True,LIC6789514
PARTNER0225,Rebecca Wise,555-1965776,Car,4.0,888,Chicago,PARTNER0364,True,LIC1933149
PARTNER0226,Ryan Young,555-5398231,Bike,2.9,187,Houston,PARTNER0036,False,LIC6102683
PARTNER0227,Ryan Andrade,555-6314404,Bike,2.0,690,Los Angeles,PARTNER0492,True,LIC3914100
PARTNER0228,Kathleen Randolph,555-5452713,Car,3.9,519,Phoenix,PARTNER0468,True,LIC3019280
PARTNER0229,Maria Rogers,555-3263922,Car,3.3,744,Chicago,PARTNER0012,True,LIC3530483
PARTNER0230,Wendy Benson,555-4322143,Bike,4.5,333,Houston,PARTNER0107,False,LIC6078438
PARTNER0231,Carl Buckley,555-1182937,Bike,2.6,529,Los Angeles,PARTNER0282,True,LIC4289708
PARTNER0232,Richard Martinez,555-5369006,Car,2.1,212,Los Angeles,PARTNER0243,True,LIC3530370
PARTNER0233,Brianna Preston,555-4508228,Bike,3.3,547,Los Angeles,PARTNER0463,False,LIC4467158
PARTNER0234,Joshua Vang,555-8474540,Car,4.3,770,Chicago,PARTNER0438,False,LIC5268918
PARTNER0235,Carolyn Williams,555-1838470,Bike,2.6,906,Chicago,PARTNER0360,True,LIC7374877
PARTNER0236,Ruben Torres,555-3267639,Car,2.6,914,Los Angeles,PARTNER0003,True,LIC6986828
PARTNER0237,Ian Rodriguez,555-5829577,Car,1.8,141,Phoenix,PARTNER0173,False,LIC1218943
PARTNER0238,Benjamin Weeks,555-2250452,Bike,1.2,298,New York,PARTNER0254,True,LIC4605733
PARTNER0239,Kevin Weiss,555-8163840,Car,4.8,430,Houston,PARTNER0207,True,LIC2537608
PARTNER0240,Sarah Eaton,555-3453453,Van,1.4,445,New York,PARTNER0168,True,LIC2309452
PARTNER0241,Adam Barrett,555-6880232,Car,1.9,284,New York,PARTNER0154,False,LIC3202709
PARTNER0242,Lori Smith,555-6850815,Bike,4.7,185,Chicago,PARTNER0058,False,LIC6482190
PARTNER0243,Pamela Martin,555-4678534,Car,4.4,974,Los Angeles,PARTNER0077,True,LIC7102436
PARTNER0244,Albert Stephens,555-9809315,Bike,4.3,973,Houston,PARTNER0129,False,LIC1019748
PARTNER0245,Julian Taylor,555-8322365,Bike,1.9,163,Houston,PARTNER0336,True,LIC7310310
PARTNER0246,Cynthia Holden,555-7250234,Car,4.6,520,Phoenix,PARTNER0265,False,LIC4718634
PARTNER0247,Emily Perez,555-6408720,Car,4.3,449,Chicago,PARTNER0313,False,LIC8022743
PARTNER0248,Emily Perez,555-1575986,Bike,2.4,629,New York,PARTNER0421,True,LIC2904516
PARTNER0249,Anthony Woodward,555-4467656,Van,1.1,974,Houston,PARTNER0151,True,LIC4211884
PARTNER0250,Samantha Atkinson,555-9949045,Car,2.3,707,Houston,PARTNER0157,True,LIC7901501
PARTNER0251,Phillip Morgan,555-8606192,Bike,3.3,600,Phoenix,PARTNER0419,False,LIC3716220
PARTNER0252,Nathan Jones,555-5487337,Bike,4.5,583,New York,PARTNER0469,False,LIC6966822
PARTNER0253,Danielle Baker,555-5262291,Car,3.2,644,Chicago,PARTNER0435,False,LIC4661871
PARTNER0254,Heather Black,555-6128027,Car,1.8,381,Phoenix,PARTNER0433,True,LIC9281771
PARTNER0255,Maurice Patterson,555-8927163,Van,4.3,920,Los Angeles,PARTNER0208,False,LIC8718781
PARTNER0256,Austin Herring,555-9665234,Van,2.1,322,Chicago,PARTNER0012,False,LIC6796125
PARTNER0257,Lisa Ramirez PhD,555-2836042,Car,2.4,888,New York,PARTNER0082,True,LIC7474570
PARTNER0258,Tiffany Freeman,555-7775455,Bike,1.6,707,Los Angeles,PARTNER0014,False,LIC5712902
